name,category,latitude,longitude,rating,popularity
Apple Al Maryah Island (Apple جزيرة الماريه),Electronics Store,24.501293,54.388121,8.6,0.9885686060050101
L'Eto,Café,24.500965,54.388179,8.3,0.9888155805666302
Hidden Bar,Cocktail Bar,24.499713,54.387242,8.3,0.945877288924955
Secret Garden by L’ETO,Dessert Shop,24.500901,54.388574,7.5,0.9868750661539004
Cartier Boutique,Fashion Accessories Store,24.500314,54.388601,7.9,0.9889919909677874
Petek Restaurants & Sweets,"Cafes, Coffee, and Tea Houses",24.488652,54.355268,8.5,0.907102282750591
نوفو سينما,Movie Theater,24.488259,54.356821,7.6,0.9308471227463572
Tamba Restaurant,Indian Restaurant,24.487499,54.357383,8.2,0.9102071058109586
Nando's,African Restaurant,24.488276,54.356641,7.1,0.9521927812863846
Dashing Nails,Health and Beauty Service,24.489412,54.355946,7.9,0.8791941572875137
Back Yard Bistro,Sports Bar,24.488,54.356931,6.9,0.9561090921920756
The Nail Spa,Health and Beauty Service,24.487499,54.357383,7.5,0.9848992696609392
Jazz,Italian Restaurant,24.487391,54.357522,7.8,0.9342342024485764
Nata Lisboa,Coffee Shop,24.488694,54.356264,6.6,0.9585435557280457
السوق المركزي,Antique Store,24.488969,54.356387,7.2,0.978689623540204
Tim Hortons,Café,25.777271,55.937203,8.2,0.9397446129289705
Al Qawasim Corniche (كورنيش القواسم),Harbor / Marina,25.77739,55.938581,8.8,0.9992019154030327
فواكة فرغلي,Juice Bar,25.784098,55.943444,6.4,0.9365522745411013
Manhattan Cafe,Café,25.785752,55.945592,6.9,0.922585794094174
Barbera cafe (كوفي باربيرا),Coffee Shop,25.781141,55.941765,7.5,0.035115722266560255
Tucano Coffee (توكانو كافيه),Coffee Shop,25.696453,55.778739,8.9,0.9624629351068187
Sea And Sea,Restaurant,25.696547,55.778783,7.8,0.9129654658259957
زووم مارت,Convenience Store,25.699727,55.782536,7.4,0.92430906727123
Tucano Coffee (توكانو كافيه),Coffee Shop,25.696453,55.778739,8.9,0.9624629351068187
Sea And Sea,Restaurant,25.696547,55.778783,7.8,0.9129654658259957
SALT (سولت),Burger Joint,25.667888,55.742191,8.4,0.9873211442758875
DoubleTree Hilton beach,Beach,25.668136,55.743664,6.9,0.12780102153286327
Al Marjan Restaurant,Restaurant,25.669951,55.744134,7.2,0.9799812044871827
Al Hamra Golf Club,Golf Course,25.689794,55.777294,7.7,0.967999605587178
Belgian Beer Cafe & Restaurant RAK,Belgian Restaurant,25.687616,55.775915,7.9,0.9673092004373256
Maison Mathis 'Al Hamra Golf Club',Café,25.689588,55.777391,6.0,0.9383422706064788
SEAFOOD restaurant,Seafood Restaurant,25.687745,55.774194,7.8,0.757105254719517
Caffè Nero (كافيه نيرو),Coffee Shop,25.682762,55.781677,8.6,0.9867429847762802
Starbucks (ستاربكس),Coffee Shop,25.682559,55.781349,8.1,0.9923954028737262
شكسبير أند كو,Café,25.68335,55.781878,8.0,0.9837980133737982
VOX Cinemas (ڤوكس سينما),Movie Theater,25.683451,55.782042,8.1,0.9895283273945559
Al Hamra Mall (الحمرا مول),Shopping Mall,25.683051,55.78193,7.4,0.9978036882044834
Spinney's,Grocery Store / Supermarket,25.682075,55.780888,8.5,0.9927473048634797
Nando's,Portuguese Restaurant,25.68323,55.781899,7.3,0.9590004339089176
Chili's,Steakhouse,25.683451,55.782042,7.1,0.9482487257636869
Johnny Rockets (جوني روكتس),Fast Food Restaurant,25.683248,55.781714,6.6,0.612313664531492
Tips and Toes,Health and Beauty Service,25.682874,55.781537,6.0,0.9403357728440377
Inferno Night Club,Night Club,25.6641,55.748494,7.9,0.8982238602765171
SALT (سولت),Burger Joint,25.667888,55.742191,8.4,0.9873211442758875
Meat Point,South American Restaurant,25.664191,55.748963,7.5,0.9570286438657767
Aisha Lobby Lounge,Café,25.663201,55.749076,7.5,0.943774886993814
Toast'n Burger,Burger Joint,25.664295,55.748702,6.9,0.9389382749110355
Mojito Bar,Cocktail Bar,25.663866,55.74908,7.3,0.2040712709328926
Al Hamra Cellar,Food and Beverage Retail,25.693119,55.796613,9.1,0.9853345546163551
زووم مارت,Convenience Store,25.699727,55.782536,7.4,0.92430906727123
